"学校","专业组","专业代码","专业名称","专业类","梯队/桶","原风险色","原风险标签"
"国防科技大学","国防科技大学06","34","航空航天类(新兴高技术初级技术军官)(只招男生)(体检标准:通用标准合格)","航空航天类","航空航天","yellow","边缘专业"
"空军工程大学","空军工程大学03","09","任务规划(航空兵任务规划初级技术军官)(只招男生)(体检标准:通用标准合格)","军事类","航空航天","blue","待拆解"
"空军工程大学","空军工程大学03","10","控制与领航(航空兵指挥控制初级指挥军官)(只招男生)(体检标准:通用标准合格)","军事类","航空航天","blue","待拆解"
"空军工程大学","空军工程大学03","11","航空管制(空域管控、飞行管制初级技术军官)(只招男生)(体检标准:通用标准合格)","军事类","航空航天","blue","待拆解"
"空军工程大学","空军工程大学03","12","军事运输投送(航空运输投送初级指挥军官)(只招男生)(体检标准:通用标准合格)","军事类","航空航天","blue","待拆解"
"空军工程大学","空军工程大学03","13","场站管理工程(航空场务保障初级指挥军官)(只招男生)(体检标准:通用标准合格)","军事类","航空航天","blue","待拆解"
"空军工程大学","空军工程大学03","15","场站管理工程(航空军需初级指挥与技术军官)(只招男生)(体检标准:通用标准合格)","军事类","航空航天","blue","待拆解"
"空军工程大学","空军工程大学03","16","场站管理工程(航空四站初级指挥军官)(只招男生)(体检标准:通用标准合格)","军事类","航空航天","blue","待拆解"
"空军工程大学","空军工程大学03","17","场站管理工程(航空油料初级指挥军官)(只招男生)(体检标准:通用标准合格)","军事类","航空航天","blue","待拆解"
"空军工程大学","空军工程大学03","19","导弹工程(航空弹药初级指挥与技术军官)(只招男生)(体检标准:通用标准合格)","军事类","航空航天","blue","待拆解"
"空军工程大学","空军工程大学03","21","管理科学(航空装备质控与数据分析运用初级技术军官)(只招男生)(体检标准:通用标准合格)","管理科学与工程类","航空航天","orange","中危刺客"
"武警工程大学","武警工程大学03","06","机械工程(工程机械初级指挥警官)(只招男生)(体检标准:通用标准合格)","机械类","机械","yellow","边缘专业"
"中国民用航空飞行学院","中国民用航空飞行学院04","24","新能源科学与工程(航空新能源开发及其利用)(校本部)(报考该专业组有色觉要求,具体请查阅院校招生章程。以下专业除注明外在成都天府校区学习)","能源动力类","航空航天","yellow","边缘专业"
"南京大学","南京大学07","23","工科试验班(光电信息科学与工程、碳中和科学与工程、生物医学工程、工业工程类、材料类)(鼓楼校区和仙林校区)(其中碳中和科学与工程、生物医学工程在鼓楼校区和苏州校区)(以下专业考生投档成绩需达到特殊类型招生控制线上100分(含))(高校专项计划)","工科试验班类","光电","blue","待拆解"
"南京大学","南京大学09","29","工科试验班(未来技术学院)(智能科学与技术、集成电路设计与集成系统、自动化(机器人方向)、碳中和科学与工程、生物医学工程)(鼓楼校区和苏州校区)(该类内分流时专业任选)","工科试验班类","医工交叉","blue","待拆解"
"南京大学","南京大学11","45","理科试验班类(数理科学类)(数学与应用数学、信息与计算科学、统计学、物理学、应用物理学、声学)(以下专业除注明外在鼓楼校区和仙林校区学习)","理科试验班类","统计","blue","待拆解"
"南京大学","南京大学11","47","工科试验班(光电信息科学与工程、碳中和科学与工程、生物医学工程、工业工程类、材料类)(其中碳中和科学与工程、生物医学工程在鼓楼校区和苏州校区)(以下专业除注明外在鼓楼校区和仙林校区学习)","工科试验班类","光电","blue","待拆解"
"东南大学","东南大学07","11","工科试验班(智能制造与智能系统)(机器人工程、自动化、智能感知工程、智能车辆工程、机械工程、测控技术与仪器、医疗器械与装备工程)(以下专业只招收该校测试合格的考生。其中集成电路设计与集成系统专业第一、二学年在南京校区学习,第三、四学年在无锡校区学习)","工科试验班类","医工交叉","blue","待拆解"
"东南大学","东南大学07","17","生物医学工程类(生物医学工程、智能医学工程、生物信息学、生物科学)(以下专业只招收该校测试合格的考生。其中集成电路设计与集成系统专业第一、二学年在南京校区学习,第三、四学年在无锡校区学习)","生物医学工程类","医工交叉","yellow","边缘专业"
"东南大学","东南大学11","31","生物医学工程类(生物医学工程、智能医学工程、生物信息学、生物科学)(以下专业中集成电路设计与集成系统专业第一、二学年在南京校区学习,第三、四学年在无锡校区学习)","生物医学工程类","医工交叉","red","高危刺客"
"东南大学","东南大学12","39","工科试验班(AI+工程创新班)(机器人工程、自动化、生物医学工程、智能医学工程、智能车辆工程、电动载运工程、智能感知工程、新能源科学与工程、机械工程、测控技术与仪器、能源与动力工程)(该类内分流时专业任选)","工科试验班类","医工交叉","blue","待拆解"
"东南大学","东南大学12","40","工科试验班(智能制造与智能系统)(机器人工程、自动化、智能感知工程、智能车辆工程、机械工程、测控技术与仪器、医疗器械与装备工程)","工科试验班类","医工交叉","blue","待拆解"
"南京航空航天大学","南京航空航天大学04","19","生物医学工程(与南京医科大学联合学士学位培养项目)(第一学年在常州市天目湖校区学习,第二学年在南京医科大学常州校区学习,第三、四学年在南京市将军路校区学习)(以下专业除注明外第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习。以下专业考生投档成绩需达到特殊类型招生控制线上50分(含))(高校专项计划)","生物医学工程类","医工交叉","yellow","边缘专业"
"南京航空航天大学","南京航空航天大学06","57","飞行器适航技术(拔尖创新班)(以下专业除注明外第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习)","航空航天类","航空航天","yellow","边缘专业"
"南京航空航天大学","南京航空航天大学07","74","生物医学工程(与南京医科大学联合学士学位培养项目)(第一学年在常州市天目湖校区学习,第二学年在南京医科大学常州校区学习,第三、四学年在南京市将军路校区学习)(以下专业除注明外第一、二学年在常州市天目湖校区学习,第三、四学年在南京市将军路校区学习)","生物医学工程类","医工交叉","orange","中危刺客"
"南京理工大学","南京理工大学03","21","航空航天类(大成创新人才班)(飞行器设计与工程、低空技术与工程)(以下专业在南京校区学习)","航空航天类","航空航天","yellow","边缘专业"
"南京农业大学","南京农业大学09","43","机械类(车辆工程、机械工程)","机械类","机械","yellow","边缘专业"
"南京农业大学","南京农业大学13","71","机械工程(第四学年须赴英国思克莱德大学学习,赴英期间学费按照英方收费标准收取)(以下专业第一二、三学年在中国学习,第四学年须赴英国思克莱德大学学习,赴英期间学费按照英方收费标准收取。本项目不接收无出国意愿的考生)(中外合作办学)","机械类","机械","yellow","边缘专业"
"南京师范大学","南京师范大学16","61","统计学(地方专项计划)","统计学类","统计","yellow","边缘专业"
"南京邮电大学","南京邮电大学10","59","生物医学工程(以下专业与塞浦路斯欧洲大学合作办学,四年均在南京邮电大学学习)(中外合作办学)","生物医学工程类","医工交叉","red","高危刺客"
"南京中医药大学","南京中医药大学17","69","医学信息工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)(南京校区)","电子信息类","医工交叉","yellow","边缘专业"
"南京林业大学","南京林业大学03","25","工业设计(以下专业第一、二学年在南京溧水区白马校区学习,第三学年起在南京玄武区新庄校区学习)(南京校区)(地方专项计划)","机械类","机械","gray","整体偏冷"
"南京工业职业技术大学","南京工业职业技术大学04","16","医疗器械工程技术(以下专业在校本部学习)","药品与医疗器械类","医工交叉","yellow","边缘专业"
"无锡学院","无锡学院04","29","智能交互设计","机械类","机械","yellow","边缘专业"
"江苏师范大学","江苏师范大学31","A0","工业设计(第三学年起可赴俄罗斯圣彼得堡彼得大帝理工大学学习,学费按俄方标准收取)(中外合作办学)","机械类","机械","orange","中危刺客"
